thibMetrics_1,thibMetrics_2,thibMetrics_3,thibMetrics_4,thibMetrics_5
21.8758355438,15.1307692308,13.5261538462,1,1.40996958998638
25.1753016805,19.5227963526,24.7943262411,1,1.40970182501908
12.6268689766,21.3366653339,14.6053578569,1,2.99861993095634
12.8597543808,22.5645063598,26.6232586311,1,2.12648223917121
21.6319252874,23.2981770833,34.0221354167,1,1.94819682906829
23.172421542,24.6641697878,19.8464419476,1,2.29525778605407
24.6620331467,25.1319043693,12.7873042045,1,1.98692319497218
11.3320745816,30.5146579805,10.4247557003,1,1.77473536429477
9.77303441229999,30.708886619,33.7793667007,1,2.38972736567893
24.0441509575,30.7965461414,29.2428494334,1,2.86159037105216
17.2412408235,34.3035594359,40.2424445937,1,2.18014150950212
21.2051779755,35.4122983871,15.8528225806,1,2.20870133727202
2.7053154389,36.506155303,10.3768939394,1,1.46061535477271
24.7230546038,38.1162790698,39.3868921776,1,1.74148418866068
0,38.8455172414,17.415862069,1,1.23275523007361
15.6881525989,39.4567584881,44.5112107623,1,1.72536587043441
2.3791984113,40.8837696335,21.180104712,1,1.61782389654443
25.0586660507,41.4470158343,24.431181486,1,2.34015177084364
3.004273152,41.58002456,35.133033156,1,1.87543086112384
0.786278896799999,43.7946505608,25.0690250216,1,1.49671777132484
18.1483141763,46.1688888889,47.9355555556,1,1.11307845523596
12.4306611223,47.6459268762,7.75176395125,1,1.24062444231561
16.9343375681,48.415037594,9.43308270677,1,1.04929672764882
25.0737833557,48.8056537102,42.6840989399,1,1.4495917637835
8.8938122986,48.9433399602,41.6222664016,1,1.26010298961387
3.469821439,49.7071307301,28.6714770798,1,1.70137869678017
7.02114653,51.838790932,21.5591939547,1,1.04425589934985
20.2194806584,53.1949058693,46.1794019934,1,1.2503208606176
25.4010011515,53.3620386643,32.80228471,1,1.96711870836269
12.4333708656,54.9572400389,45.267249757,1,1.22208093003043
0.6126945181,55.8082264957,8.77297008547,1,1.01776097696707
1.85753569079999,56.4566878981,31.3681528662,1,1.39587226430167
11.0180722738,56.4843173432,20.6263837638,1,2.03034007510468
4.71337461019999,56.6461336828,3.39842726081,1,1.00315646522313
7.193524829,59.0776031434,38.9921414538,1,1.52653034961179
17.5907809048,62,2.29805013928,1,1.00011778802775
3.0893750203,62.7002827521,13.9098334904,1,1.03254821995134
23.4361725911,64.2857574841,44.5941941337,1,1.45197906552818
4.45426960969999,64.364010989,29.0096153846,1,1.43600779532993
11.4013040752,68.7723636364,38.5207272727,1,1.8870698081544
11.6860369485,69.8613861386,16.9328932893,1,1.15167269436803
13.8577135757,72.5285285285,3.45945945946,1,1.00013580260038
5.93988295779999,72.6452563347,24.4166175604,1,1.17585831249634
26.080857297,74.3682310469,28.9025270758,1,1.28758349472884
21.6693643489,75.7623400366,41.5076173065,1,1.37033981394172
15.6285475217,76.2328618063,11.8008705114,1,1.00127528493581
10.9394508441,79.0125958379,33.4561883899,1,1.21995440139521
6.62388073290001,81.7301980198,17.7978547855,1,1.02309019633723
26.2022660099,83.2866995074,19.9418719212,1,1.01699584906772
25.2912174525,84.245601689,11.9366643209,1,1.0004180888625
24.7734307185,85.5392057026,36.0789205703,1,1.28933414337031
9.9725260626,85.6263565891,12.8573643411,1,1.00000833538513
19.5431785682,86.0997375328,10.9142607174,1,1.00037677861038
12.3905297328,87.1938163359,28.6908167974,1,1.07696482512902
23.2114365473,93.3686662784,26.6563774024,1,1.08226050130277
14.821750037,94.0734978541,19.4935622318,1,1.00299589144257
25.3458958756,97.8862745098,15.9098039216,1,1
40.4629044287,18.3177399757,19.2308626974,2,2.08200129296304
31.9958260471,22.4700854701,25.32668566,2,1.40630993819667
45.3383188522,23.5497106786,13.5391899001,2,2.25845734320642
36.2590804598,23.8812260536,31.2122605364,2,3.35675724169929
33.7597020959,25.0160502442,12.6336357292,2,1.71250227623186
33.6578929019,25.2780410742,18.5339652449,2,2.42837477132723
46.397786245,28.0591160221,27.2104972376,2,4.12485155825277
46.9432796048,29.7351664255,34.8871201158,2,3.21670844132811
52.6072763252,30.3797313797,16.2124542125,2,2.3373509122116
37.3021633826,31.7107142857,41.9029761905,2,2.76729537226096
35.4530709038,33.40111034,25.9979181124,2,5.24436914671881
45.3877816622,35.2528801843,10.1042626728,2,2.1202756489684
32.8435076425,36.4751257686,38.8446059251,2,3.64255276395467
51.2599683585,36.8075842697,33.5196629213,2,5.41609211687922
36.9277858242,37.5680087051,14.598476605,2,2.5528762847384
54.3654276389,41.1975308642,8.42621987066,2,1.6255426204048
